"Stars","Title","Entry ID","Entry Name","Date Added","Date Modified","PDB CRYST1 a","PDB CRYST1 b","PDB CRYST1 c","PDB CRYST1 alpha","PDB CRYST1 beta","PDB CRYST1 gamma","PDB CRYST1 Space Group","PDB CRYST1 z","PDB format version","Source File Index","Source Path","Source File","prepared","prepared with version","created disulfur","preprocess pH","het states","Potential Energy-S-OPLS","RMS Derivative-S-OPLS","Max Derivative-S-OPLS","Stretch Energy-S-OPLS","Bend Energy-S-OPLS","LJ-14 Energy-S-OPLS","El-14 Energy-S-OPLS","Van der Waals Energy-S-OPLS","Electrostatic Energy-S-OPLS","Dihedral Energy-S-OPLS","target temperature","Job Name","source file","source file index","mmshare version","input","cmdline","Ionization Penalty","Ionization Penalty Charging","Ionization Penalty Neutral","State Penalty","Charging Adjusted Penalty","Tot Q","Tot abs Q","Chemistry Notes","flags","Force Field","Energy","Chiralities Consistent","Variant","grid version","gridbox xcent","gridbox ycent","gridbox zcent","gridbox xrange","gridbox yrange","gridbox zrange","gridbox ligxrange","gridbox ligyrange","gridbox ligzrange","grid type","receptor","glide gridfile","glide lignum","glide rotatable bonds","docking score","glide ligand efficiency","glide ligand efficiency sa","glide ligand efficiency ln","glide gscore","glide lipo","glide hbond","glide metal","glide rewards","glide evdw","glide ecoul","glide erotb","glide esite","glide emodel","glide energy","glide einternal","glide confnum","glide posenum","glide eff state penalty"
,"MYH7_PPS_OM - prepared_ligand","10","MYH7_PPS_OM.1_ligand","18 Jun 2026 18:54","18 Jun 2026 18:57",139.102,139.102,139.102,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PPS_Auto_Redock","PPS_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3119.747,0.086,3.612,384.581,1599.446,3654.346,1403.034,-7575.875,-4422.419,1751.401,298.000,"PPS_Auto_Redock","1_PPS_Ligprep_3.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.2035,0.1701,0.0333,0.2000,0.370,1,1,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",56.622,true,"MYH7_PPS_OM - prepared_ligand-1",,,,,,,,,,,"",,"PPS_Auto_Grid",1,8,-10.853,-0.374,-1.150,-2.485,-11.053,-3.434,-0.856,0.000,-1.634,-52.135,-20.214,0.848,-0.338,-116.827,-72.349,11.427,82,369,0.200
,"MYH7_PPS_OM - prepared_ligand","11","MYH7_PPS_OM.1_ligand","18 Jun 2026 18:54","18 Jun 2026 18:58",139.102,139.102,139.102,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PPS_Auto_Redock","PPS_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3119.747,0.086,3.612,384.581,1599.446,3654.346,1403.034,-7575.875,-4422.419,1751.401,298.000,"PPS_Auto_Redock","1_PPS_Ligprep_3.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.8923,1.8923,0.0000,1.8674,3.760,2,2,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",59.908,true,"MYH7_PPS_OM - prepared_ligand-3",,,,,,,,,,,"",,"PPS_Auto_Grid",3,8,-9.599,-0.331,-1.017,-2.198,-11.467,-3.296,-0.960,0.000,-1.649,-50.458,-23.351,0.844,-0.380,-120.732,-73.809,12.165,144,254,1.867
,"MYH7_PPS_OM - prepared_ligand","12","MYH7_PPS_OM.1_ligand","18 Jun 2026 18:54","18 Jun 2026 18:58",139.102,139.102,139.102,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PPS_Auto_Redock","PPS_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3119.747,0.086,3.612,384.581,1599.446,3654.346,1403.034,-7575.875,-4422.419,1751.401,298.000,"PPS_Auto_Redock","1_PPS_Ligprep_3.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.8923,1.8923,0.0000,1.8674,3.760,2,2,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",59.908,true,"MYH7_PPS_OM - prepared_ligand-3",,,,,,,,,,,"",,"PPS_Auto_Grid",3,8,-9.396,-0.324,-0.995,-2.152,-11.264,-3.098,-0.960,0.000,-1.632,-51.107,-23.419,0.844,-0.350,-122.048,-74.526,9.093,144,329,1.867
,"MYH7_PPS_OM - prepared_ligand","13","MYH7_PPS_OM.1_ligand","18 Jun 2026 18:54","18 Jun 2026 18:58",139.102,139.102,139.102,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PPS_Auto_Redock","PPS_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3119.747,0.086,3.612,384.581,1599.446,3654.346,1403.034,-7575.875,-4422.419,1751.401,298.000,"PPS_Auto_Redock","1_PPS_Ligprep_3.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.8607,0.0000,0.8607,0.8736,0.874,0,0,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",63.759,true,"MYH7_PPS_OM - prepared_ligand-2",,,,,,,,,,,"",,"PPS_Auto_Grid",2,8,-9.294,-0.320,-0.985,-2.128,-10.167,-3.397,-0.960,0.000,-1.648,-53.163,-13.405,0.852,-0.345,-106.476,-66.568,10.076,226,277,0.874
,"MYH7_PPS_OM - prepared_ligand","14","MYH7_PPS_OM.1_ligand","18 Jun 2026 18:54","18 Jun 2026 18:58",139.102,139.102,139.102,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PPS_Auto_Redock","PPS_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3119.747,0.086,3.612,384.581,1599.446,3654.346,1403.034,-7575.875,-4422.419,1751.401,298.000,"PPS_Auto_Redock","1_PPS_Ligprep_3.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.8923,1.8923,0.0000,1.8674,3.760,2,2,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",59.908,true,"MYH7_PPS_OM - prepared_ligand-3",,,,,,,,,,,"",,"PPS_Auto_Grid",3,8,-9.143,-0.315,-0.969,-2.094,-11.010,-3.183,-0.846,0.000,-1.622,-50.258,-22.199,0.844,-0.362,-117.782,-72.456,11.208,25,344,1.867
,"MYH7_PPS_OM - prepared_ligand","15","MYH7_PPS_OM.1_ligand","18 Jun 2026 18:54","18 Jun 2026 18:58",139.102,139.102,139.102,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PPS_Auto_Redock","PPS_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3119.747,0.086,3.612,384.581,1599.446,3654.346,1403.034,-7575.875,-4422.419,1751.401,298.000,"PPS_Auto_Redock","1_PPS_Ligprep_3.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.2035,0.1701,0.0333,0.2000,0.370,1,1,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",56.622,true,"MYH7_PPS_OM - prepared_ligand-1",,,,,,,,,,,"",,"PPS_Auto_Grid",1,8,-9.094,-0.314,-0.963,-2.082,-9.294,-3.964,-0.519,0.000,-1.219,-49.506,-12.494,0.848,-0.091,-97.964,-62.000,12.354,82,346,0.200
,"MYH7_PPS_OM - prepared_ligand","16","MYH7_PPS_OM.1_ligand","18 Jun 2026 18:54","18 Jun 2026 18:58",139.102,139.102,139.102,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PPS_Auto_Redock","PPS_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3119.747,0.086,3.612,384.581,1599.446,3654.346,1403.034,-7575.875,-4422.419,1751.401,298.000,"PPS_Auto_Redock","1_PPS_Ligprep_3.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.8923,1.8923,0.0000,1.8674,3.760,2,2,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",59.908,true,"MYH7_PPS_OM - prepared_ligand-3",,,,,,,,,,,"",,"PPS_Auto_Grid",3,8,-9.060,-0.312,-0.960,-2.074,-10.927,-3.113,-0.960,0.000,-1.649,-49.271,-21.583,0.844,-0.348,-118.286,-70.854,6.178,175,382,1.867
,"MYH7_PPS_OM - prepared_ligand","17","MYH7_PPS_OM.1_ligand","18 Jun 2026 18:54","18 Jun 2026 18:58",139.102,139.102,139.102,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PPS_Auto_Redock","PPS_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3119.747,0.086,3.612,384.581,1599.446,3654.346,1403.034,-7575.875,-4422.419,1751.401,298.000,"PPS_Auto_Redock","1_PPS_Ligprep_3.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.8607,0.0000,0.8607,0.8736,0.874,0,0,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",63.759,true,"MYH7_PPS_OM - prepared_ligand-2",,,,,,,,,,,"",,"PPS_Auto_Grid",2,8,-8.889,-0.307,-0.942,-2.035,-9.762,-3.199,-0.960,0.000,-1.632,-53.579,-11.922,0.852,-0.356,-104.904,-65.501,7.459,49,183,0.874
,"MYH7_PPS_OM - prepared_ligand","18","MYH7_PPS_OM.1_ligand","18 Jun 2026 18:54","18 Jun 2026 18:58",139.102,139.102,139.102,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PPS_Auto_Redock","PPS_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3119.747,0.086,3.612,384.581,1599.446,3654.346,1403.034,-7575.875,-4422.419,1751.401,298.000,"PPS_Auto_Redock","1_PPS_Ligprep_3.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.8607,0.0000,0.8607,0.8736,0.874,0,0,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",63.759,true,"MYH7_PPS_OM - prepared_ligand-2",,,,,,,,,,,"",,"PPS_Auto_Grid",2,8,-8.876,-0.306,-0.940,-2.032,-9.749,-3.195,-0.938,0.000,-1.644,-53.030,-12.221,0.852,-0.340,-103.235,-65.250,10.266,176,336,0.874
,"MYH7_PPS_OM - prepared_ligand","19","MYH7_PPS_OM.1_ligand","18 Jun 2026 18:54","18 Jun 2026 18:58",139.102,139.102,139.102,70.530,109.470,70.530,"P 1",1,"3.0",1,"/home/user320/PPS_Auto_Redock","PPS_Auto_Redock_pv.maegz",true,"2023-4",true,7.400,"eJztVdFqg0AQ/BXxOQTvvNPd/koIIqlJBRuLJoUi+ffu3TUZDbSFQokPvsjueHfjztzgEBfvVdfX7bGIn6LMKJOsIsHK5lw5ZIiVPDdDvHspu0PVu2aT6VytomS7ilypUaYoDUqLMkOZoySUfCspQQk2AhuBjcBGYCOwEdgIbAQ2BhuDjcHGYGOwMdgYbAw2Bht7NqnjtnsWzUdSBhUVBA1aKsgaFNUTwGKF9UB2BzhyBeWD6Ar6B+kVXAgGTAAebWEHOF8ULAruTACnhIZzwTQN/4J1Ci4GAzW8DDaqMcAYjvxwNAL8cM5jPQEwHPlZCMORn4WTe8DezuAwiwLgZ2EYxX4WTu8BzMLmeuh1hf8wxndwDqPc1XirjmVz+pC7kawNa9kZv1ansinCi9oncIi1+lqhhD022nc2yV2TXht1kbbftV0lyPHcNNLWx31b9KduhPRF29WHWo4XcF82fSX7/j3wozu1BH4J/BJ4yWyameznwKeZtQh8mnOKxEun55z4mf3iRxYuiV8S/4jE63Umkn+TeJ9xWZG72xMyLh2RmXPGZ/ZXXzK+ZPzhGbd5/kvGLWszyniS2j9nfHu5fAIF/IJQ",-3119.747,0.086,3.612,384.581,1599.446,3654.346,1403.034,-7575.875,-4422.419,1751.401,298.000,"PPS_Auto_Redock","1_PPS_Ligprep_3.maegz",1,64140,"W0NIM11PQyg9TylOMVtDSDJdW0NIMl1OKFtDSDJdW0NIMl0xKVtDSDJdYzJbY0hdW2NIXVtjSF1jKGMyRilbTkhdQyg9TylbTkhdYzNbY0hdbmMoW0NIM10pW2NIXVtjSF0z","J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",0.2035,0.1701,0.0333,0.2000,0.370,1,1,"This compound has an ester and may undergo hydrolysis at high or low pH.",0,"S-OPLS",56.622,true,"MYH7_PPS_OM - prepared_ligand-1",,,,,,,,,,,"",,"PPS_Auto_Grid",1,8,-8.714,-0.300,-0.923,-1.995,-8.914,-4.216,-0.011,0.000,-1.726,-50.762,-8.466,0.848,0.000,-94.247,-59.228,10.699,25,215,0.200
